MD, Mud_Weight 
m, (kg/m3)
176.00, 1049.68
290.00, 1090.42
677.00, 1150.33
988.00, 1139.55
1200.00, 1150.33
1200.00, 1150.33
1200.00, 1150.33
1200.00, 1150.33
1200.00, 1270.16
1223.00, 1260.57
1717.00, 1270.16
1774.00, 1260.57
1805.00, 1270.16
2121.00, 1290.53
2379.00, 1320.49
2602.00, 1320.49
2720.00, 1320.49
2720.00, 1320.49
2720.00, 1320.49
2720.00, 1350.44
2720.00, 1339.66
2750.00, 1459.49
2750.00, 1449.90
2750.00, 1440.31
2959.00, 1459.49
3063.00, 1459.49
3063.00, 1459.49
3063.00, 1459.49
3106.00, 1139.55
3333.00, 1139.55
3338.00, 1139.55
3461.00, 1139.55
3467.00, 1139.55
3635.00, 1159.92
3708.00, 1169.51
3827.00, 1159.92
3893.00, 1169.51
4015.00, 1159.92
4208.00, 1169.51
4208.00, 1169.51
4343.00, 1159.92
4438.00, 1169.51
4489.00, 1159.92
4592.00, 1109.59
4713.00, 1079.64
4882.00, 1030.51
5071.00, 1030.51
5071.00, 1030.51
5240.00, 1030.51
5326.00, 1030.51
5351.00, 1030.51
5580.00, 1030.51
5780.00, 1030.51
5831.00, 1030.51
5851.00, 1030.51
5874.00, 1030.51
5878.00, 1030.51
5942.00, 1030.51
6145.00, 1030.51
6183.00, 1030.51
6183.00, 1030.51
6183.00, 1030.51
6229.00, 1030.51
6280.00, 1030.51
6280.00, 1030.51
6280.00, 1030.51
6280.00, 1030.51
6280.00, 1030.51
6280.00, 1030.51
6280.00, 1030.51
6280.00, 1030.51
6280.00, 1079.64
6280.00, 1079.64
6280.00, 1079.64
6280.00, 1079.64
6280.00, 1079.64
6280.00, 1079.64
6280.00, 1079.64
6280.00, 1079.64
