MD	INC.	AZM.
ft	deg	deg
0	0	200
166.67	0.04	200
333.33	0.09	200
500	0.13	200
666.67	0.17	200
833.33	0.22	200
1000	0.26	200
1200	0.26	200
1400	0.25	200
1600	0.25	200
1800	0.25	200
2000	0.24	200
2200	0.24	200
2366.67	0.41	200
2533.33	0.58	200
2700	0.75	200
2866.67	0.91	200
3033.33	1.08	200
3200	1.25	200
3583.33	1.44	200
3966.67	1.63	200
4350	1.82	200
4733.33	2	200
5116.67	2.19	200
5500	2.38	100
5666.67	4.21	100
5833.33	6.03	80
6000	7.86	80
6100	9.68	60
6200	11.51	55
6300	13.33	50
6400	15.45	45
6500	17.58	40
6600	19.7	40
6700	21.82	40
6800	18	40
6900	16	40
7000	12	40
7100	8	40
7200	6	40
